Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
13150,2830,2474,1576,2300,3703,2172,535
13175,2837,2479,1580,2306,3715,2176,536
13200,2839,2484,1585,2314,3723,2181,536
13225,2844,2493,1592,2324,3734,2187,536
13250,2852,2501,1598,2332,3742,2194,537
13275,2858,2505,1600,2334,3750,2198,539
13300,2865,2512,1603,2339,3755,2203,541
13325,2872,2520,1611,2349,3765,2212,542
13350,2876,2526,1616,2355,3771,2219,543
13375,2886,2534,1623,2361,3778,2227,544
13400,2893,2545,1630,2369,3789,2232,545
13425,2900,2551,1633,2372,3796,2236,545
13450,2907,2560,1638,2377,3800,2241,545
13475,2917,2570,1648,2383,3811,2252,546
13500,2921,2574,1649,2388,3819,2256,547
13525,2928,2581,1656,2393,3826,2263,547
13550,2933,2586,1659,2399,3831,2267,547
13575,2935,2590,1661,2406,3840,2270,547
13600,2936,2597,1668,2411,3849,2277,548
13625,2943,2605,1674,2419,3859,2283,548
13650,2946,2612,1676,2424,3868,2287,549
13675,2954,2620,1682,2433,3875,2294,552
13700,2959,2625,1685,2441,3884,2297,553
13725,2965,2632,1691,2447,3896,2304,553
13750,2969,2638,1696,2455,3905,2310,555
13775,2975,2645,1699,2462,3916,2314,558
13800,2980,2652,1702,2468,3922,2320,559
13825,2990,2664,1710,2478,3932,2329,559
13850,2996,2673,1717,2488,3943,2336,559
13875,3003,2680,1721,2492,3949,2342,564
13900,3007,2684,1724,2496,3957,2346,565
13925,3013,2689,1728,2503,3965,2350,565
13950,3020,2695,1733,2508,3974,2352,566
13975,3023,2701,1735,2513,3982,2356,566
14000,3030,2707,1740,2520,3990,2363,567
14025,3037,2714,1743,2527,3999,2371,569
14050,3040,2721,1748,2535,4007,2375,569
14075,3047,2727,1751,2540,4016,2378,570
14100,3050,2732,1754,2547,4024,2383,570
14125,3055,2743,1760,2555,4036,2393,570
14150,3062,2748,1764,2563,4043,2399,570
14175,3074,2755,1771,2569,4052,2405,573
14200,3079,2761,1775,2574,4061,2410,576
14225,3081,2768,1778,2582,4069,2416,580
14250,3087,2772,1780,2589,4075,2419,583
14275,3098,2780,1786,2597,4082,2427,583
14300,3106,2788,1790,2604,4093,2434,584
14325,3110,2795,1796,2612,4104,2440,586
14350,3115,2806,1802,2620,4114,2447,586
14375,3120,2814,1807,2628,4121,2453,586
14400,3126,2821,1812,2638,4133,2459,586
14425,3131,2828,1815,2645,4142,2465,587
14450,3133,2837,1820,2652,4152,2471,588
14475,3141,2846,1825,2657,4163,2480,589
14500,3147,2851,1829,2658,4169,2483,590
14525,3152,2856,1832,2662,4178,2488,592
14550,3157,2864,1839,2671,4187,2493,594
14575,3164,2871,1844,2680,4196,2498,595
14600,3169,2878,1848,2686,4203,2502,596
14625,3178,2883,1854,2691,4210,2509,596
14650,3185,2893,1861,2700,4221,2517,596
14675,3193,2902,1864,2707,4231,2525,598
14700,3196,2909,1868,2713,4238,2529,600
14725,3204,2917,1873,2726,4250,2534,602
14750,3210,2926,1881,2732,4260,2541,604
14775,3216,2934,1885,2738,4271,2546,605
14800,3220,2938,1888,2744,4278,2549,606
14825,3224,2949,1893,2757,4288,2556,606
14850,3227,2959,1897,2762,4292,2560,607
14875,3233,2968,1903,2769,4304,2566,607
14900,3237,2972,1904,2778,4312,2567,610
14925,3242,2983,1910,2786,4325,2575,613
14950,3251,2987,1918,2793,4336,2581,613
14975,3258,2992,1921,2797,4342,2586,614
15000,3262,2999,1926,2802,4346,2591,615
15025,3265,3006,1932,2808,4354,2598,615
15050,3270,3015,1938,2814,4362,2604,615
15075,3275,3022,1943,2821,4373,2610,617
15100,3280,3032,1950,2831,4383,2618,617
15125,3286,3042,1954,2839,4395,2624,618
15150,3293,3049,1958,2847,4402,2631,619
15175,3302,3059,1965,2860,4414,2640,621
15200,3307,3068,1970,2868,4423,2646,623
15225,3314,3074,1976,2875,4433,2653,623
15250,3322,3087,1983,2886,4446,2664,626
15275,3329,3099,1992,2895,4460,2674,626
15300,3336,3108,1998,2903,4470,2680,628
15325,3345,3118,2003,2912,4483,2688,629
15350,3352,3126,2011,2919,4490,2695,629
15375,3358,3129,2013,2926,4494,2699,629
15400,3363,3138,2019,2934,4502,2703,629
15425,3368,3147,2024,2938,4516,2712,629
15450,3372,3155,2031,2944,4529,2719,630
15475,3379,3164,2039,2951,4539,2727,630
15500,3387,3168,2042,2956,4547,2731,631
15525,3393,3177,2048,2965,4558,2737,632
15550,3397,3187,2053,2972,4570,2745,632
15575,3403,3195,2059,2980,4583,2753,632
15600,3408,3200,2062,2985,4587,2757,632
15625,3409,3205,2065,2989,4597,2762,632
15650,3417,3214,2073,2995,4606,2768,632
15675,3420,3220,2079,2999,4613,2773,633
15700,3427,3225,2084,3007,4619,2779,636
15725,3432,3231,2090,3010,4626,2785,638
15750,3439,3236,2094,3015,4632,2788,639
15775,3451,3247,2098,3023,4645,2794,640
15800,3453,3257,2103,3028,4653,2801,643
15825,3458,3268,2110,3033,4663,2808,645
15850,3465,3277,2118,3040,4672,2816,647
15875,3474,3284,2123,3047,4679,2821,649
15900,3477,3293,2130,3054,4689,2828,649
15925,3482,3301,2133,3060,4699,2834,649
15950,3489,3308,2140,3068,4708,2842,650
15975,3495,3315,2146,3074,4718,2848,650
16000,3504,3324,2153,3087,4729,2855,652
