Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
10450,4204,0,5363,360,1864
10475,4204,0,5371,360,1864
10500,4204,0,5381,360,1864
10525,4204,0,5388,364,1864
10550,4204,0,5396,364,1940
10575,4204,0,5404,364,1940
10600,4204,0,5410,370,1940
10625,4204,0,5419,370,1940
10650,4204,0,5428,370,1940
10675,4204,0,5433,374,1940
10700,4204,0,5440,374,1940
10725,4204,0,5448,374,1940
10750,4204,0,5458,388,1940
10775,4204,0,5466,388,1940
10800,4204,0,5469,388,1940
10825,4204,0,5474,390,1940
10850,4204,0,5482,390,1940
10875,4204,0,5490,390,1940
10900,4204,0,5496,408,1940
10925,4204,0,5505,408,1940
10950,4204,0,5514,408,1940
10975,4204,0,5523,414,1940
11000,4204,0,5531,414,1940
11025,4204,0,5541,414,1940
11050,4204,0,5548,416,1940
11075,4204,0,5556,416,1940
11100,4204,0,5567,416,1940
11125,4204,0,5575,422,1940
11150,4204,0,5587,422,1940
11175,4204,0,5592,422,1940
11200,4204,0,5597,424,1940
11225,4204,0,5605,424,1940
11250,4204,0,5611,424,1940
11275,4204,0,5622,428,1940
11300,4204,0,5630,428,1940
11325,4204,0,5637,428,1940
11350,4204,0,5645,436,1940
11375,4204,0,5650,436,1940
11400,4204,0,5656,436,2016
11425,4204,0,5664,438,2016
11450,4204,0,5674,438,2016
11475,4204,0,5681,438,2016
11500,4204,0,5690,440,2016
11525,4204,0,5696,440,2016
11550,4204,0,5704,440,2016
11575,4204,0,5710,442,2016
11600,4204,0,5717,442,2016
11625,4354,0,5724,442,2016
11650,4354,0,5731,446,2016
11675,4354,0,5738,446,2016
11700,4354,0,5749,446,2016
11725,4354,0,5756,448,2016
11750,4354,0,5760,448,2016
11775,4354,0,5771,448,2016
11800,4354,0,5779,450,2016
11825,4354,0,5789,450,2016
11850,4354,0,5797,450,2016
11875,4354,0,5804,452,2016
11900,4354,0,5812,452,2016
11925,4354,0,5818,452,2016
11950,4354,0,5824,454,2016
11975,4354,0,5831,454,2016
12000,4354,0,5841,454,2016
12025,4354,0,5847,464,2092
12050,4354,0,5853,464,2092
12075,4354,0,5862,464,2092
12100,4354,0,5867,468,2092
12125,4354,0,5875,468,2092
12150,4354,0,5879,468,2092
12175,4354,0,5887,474,2092
12200,4354,0,5892,474,2092
12225,4354,0,5897,474,2092
12250,4354,0,5904,478,2092
12275,4354,0,5914,478,2092
12300,4354,0,5920,478,2092
12325,4354,0,5928,486,2092
12350,4354,0,5935,486,2092
12375,4354,0,5941,486,2092
12400,4354,0,5949,490,2092
12425,4354,0,5959,490,2092
12450,4354,0,5965,490,2092
12475,4354,0,5972,498,2092
12500,4354,0,5981,498,2092
12525,4354,0,5989,498,2092
12550,4354,0,6003,502,2092
12575,4354,0,6004,502,2092
12600,4354,0,6007,502,2092
12625,4354,0,6018,520,2092
12650,4354,0,6022,520,2092
12675,4354,0,6029,520,2092
12700,4354,0,6034,524,2092
12725,4354,0,6041,524,2092
12750,4354,0,6051,524,2092
12775,4354,0,6054,526,2092
12800,4354,0,6061,526,2092
12825,4354,0,6068,526,2092
12850,4354,0,6074,528,2092
12875,4354,0,6082,528,2092
12900,4354,0,6091,528,2168
12925,4354,0,6098,532,2168
12950,4354,0,6102,532,2168
12975,4354,0,6109,532,2168
13000,4354,0,6114,536,2168
13025,4354,0,6119,536,2168
13050,4504,0,6127,536,2168
13075,4504,0,6136,538,2168
13100,4504,0,6144,538,2168
