Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.05,NIndepLinUCB-alpha=0.01,NIndepLinUCB-alpha=0.3,NIndepLinUCB-alpha=0,NIndepLinUCB-alpha=1.5
20600,3980,0,0,0,0,0
20625,3980,0,0,0,0,0
20650,4094,0,0,0,0,0
20675,4094,0,0,0,0,0
20700,4094,0,0,0,0,0
20725,4094,0,0,0,0,0
20750,4094,0,0,0,0,0
20775,4094,0,0,0,0,0
20800,4094,0,0,0,0,0
20825,4094,0,0,0,0,0
20850,4094,0,0,0,0,0
20875,4094,0,0,0,0,0
20900,4094,0,0,0,0,0
20925,4094,0,0,0,0,0
20950,4094,0,0,0,0,0
20975,4094,0,0,0,0,0
21000,4094,0,0,0,0,0
21025,4094,0,0,0,0,0
21050,4094,0,0,0,0,0
21075,4094,0,0,0,0,0
21100,4094,0,0,0,0,0
