Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
13450,4728,3645,2276,3053,558
13475,4735,3654,2283,3061,560
13500,4739,3665,2289,3067,561
13525,4747,3672,2296,3075,562
13550,4752,3678,2300,3083,562
13575,4758,3685,2306,3092,564
13600,4763,3692,2313,3100,565
13625,4768,3703,2324,3106,566
13650,4772,3711,2331,3112,567
13675,4777,3722,2341,3121,567
13700,4780,3728,2347,3126,569
13725,4785,3732,2349,3128,570
13750,4799,3748,2358,3138,571
13775,4808,3762,2369,3147,572
13800,4816,3772,2378,3159,574
13825,4818,3777,2384,3165,577
13850,4824,3784,2389,3167,578
13875,4826,3791,2394,3174,579
13900,4835,3801,2401,3184,580
13925,4837,3810,2406,3191,580
13950,4843,3816,2412,3198,581
13975,4852,3823,2416,3202,582
14000,4859,3830,2421,3209,583
14025,4867,3839,2428,3218,584
14050,4873,3846,2434,3225,584
14075,4881,3857,2440,3235,585
14100,4889,3868,2452,3244,588
14125,4896,3877,2458,3254,589
14150,4903,3884,2462,3262,589
14175,4911,3894,2472,3270,590
14200,4916,3905,2480,3279,590
14225,4923,3913,2483,3285,593
14250,4928,3921,2489,3292,593
14275,4936,3932,2496,3301,594
14300,4942,3938,2501,3307,595
14325,4948,3946,2507,3321,596
14350,4955,3951,2510,3328,597
14375,4962,3959,2514,3335,597
14400,4965,3967,2518,3340,598
14425,4971,3976,2524,3351,600
14450,4975,3982,2530,3360,600
14475,4978,3990,2535,3367,603
14500,4984,3998,2541,3375,604
14525,4987,4006,2550,3383,604
14550,4994,4015,2556,3390,606
14575,5001,4026,2563,3396,608
14600,5004,4035,2568,3400,611
14625,5009,4045,2574,3407,612
14650,5014,4052,2580,3411,613
14675,5018,4057,2582,3416,615
14700,5022,4069,2589,3426,616
14725,5027,4080,2597,3437,618
14750,5033,4090,2605,3448,619
14775,5038,4097,2609,3453,620
14800,5043,4104,2615,3461,620
14825,5049,4118,2624,3470,621
14850,5053,4127,2630,3474,622
14875,5060,4138,2639,3483,623
14900,5067,4148,2646,3487,623
14925,5074,4157,2655,3497,624
14950,5082,4166,2661,3506,626
14975,5088,4174,2670,3511,627
15000,5094,4177,2673,3514,628
15025,5096,4180,2675,3519,628
15050,5104,4189,2679,3525,630
15075,5111,4198,2685,3534,631
15100,5118,4205,2690,3546,631
15125,5122,4217,2699,3554,632
15150,5130,4224,2704,3566,633
15175,5135,4230,2709,3574,634
15200,5143,4239,2714,3579,635
15225,5148,4248,2719,3584,636
15250,5149,4254,2725,3591,637
15275,5156,4260,2732,3599,637
15300,5160,4266,2738,3609,637
15325,5166,4271,2741,3615,638
15350,5174,4279,2745,3622,639
15375,5181,4283,2748,3625,639
15400,5189,4295,2756,3636,639
15425,5194,4305,2761,3649,642
15450,5198,4318,2769,3656,644
15475,5206,4332,2775,3668,644
15500,5210,4338,2777,3677,645
15525,5217,4347,2783,3686,646
15550,5221,4356,2790,3695,649
15575,5225,4366,2797,3704,650
15600,5229,4369,2799,3711,652
15625,5233,4378,2806,3719,653
15650,5243,4389,2813,3728,655
15675,5248,4400,2816,3734,655
15700,5251,4406,2820,3738,655
15725,5256,4417,2824,3745,658
15750,5266,4428,2829,3756,661
15775,5272,4436,2840,3764,662
15800,5281,4443,2841,3771,662
15825,5288,4453,2847,3781,662
15850,5294,4463,2854,3789,664
15875,5300,4471,2860,3793,665
15900,5305,4479,2865,3800,665
15925,5310,4487,2871,3805,665
15950,5316,4496,2877,3814,666
15975,5323,4502,2880,3822,668
16000,5333,4515,2887,3832,669
16025,5336,4521,2892,3839,671
16050,5342,4531,2895,3849,674
16075,5349,4539,2902,3860,675
16100,5353,4549,2908,3870,676
16125,5357,4559,2914,3878,678
16150,5362,4568,2922,3890,678
16175,5367,4572,2927,3895,680
