Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
24725,4322,0,7048,2656
24750,4322,0,7051,2660
24775,4322,0,7055,2660
24800,4322,0,7056,2664
24825,4322,0,7057,2664
24850,4322,0,7061,2664
24875,4322,0,7067,2666
24900,4322,0,7068,2666
24925,4322,0,7070,2686
24950,4322,0,7072,2686
24975,4322,0,7073,2688
25000,4322,0,7074,2688
25025,4436,0,7076,2690
25050,4436,0,7078,2690
25075,4436,0,7078,2690
25100,4436,0,7079,2696
25125,4436,0,7082,2696
25150,4436,0,7086,2696
25175,4436,0,7089,2696
25200,4436,0,7093,2706
25225,4436,0,7095,2706
25250,4436,0,7096,2706
25275,4436,0,7096,2716
25300,4436,0,7098,2716
25325,4436,0,7100,2740
25350,4436,0,7101,2740
25375,4436,0,7103,2742
25400,4436,0,7108,2742
