Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
13525,4747,3672,2296,3171,4488,549
13550,4752,3678,2300,3178,4496,550
13575,4758,3685,2306,3185,4507,552
13600,4763,3692,2313,3195,4515,552
13625,4768,3703,2324,3209,4525,552
13650,4772,3711,2331,3215,4532,553
13675,4777,3722,2341,3225,4541,555
13700,4780,3728,2347,3230,4549,557
13725,4785,3732,2349,3234,4553,558
13750,4799,3748,2358,3247,4569,560
13775,4808,3762,2369,3261,4584,561
13800,4816,3772,2378,3273,4598,563
13825,4818,3777,2384,3280,4606,563
13850,4824,3784,2389,3287,4614,564
13875,4826,3791,2394,3294,4623,565
13900,4835,3801,2401,3303,4634,565
13925,4837,3810,2406,3312,4643,569
13950,4843,3816,2412,3319,4649,569
13975,4852,3823,2416,3326,4657,571
14000,4859,3830,2421,3334,4665,571
14025,4867,3839,2428,3348,4675,571
14050,4873,3846,2434,3355,4680,572
14075,4881,3857,2440,3366,4689,573
14100,4889,3868,2452,3377,4700,573
14125,4896,3877,2458,3388,4709,574
14150,4903,3884,2462,3397,4718,575
14175,4911,3894,2472,3408,4725,578
14200,4916,3905,2480,3416,4734,580
14225,4923,3913,2483,3422,4743,581
14250,4928,3921,2489,3429,4750,582
14275,4936,3932,2496,3439,4760,583
14300,4942,3938,2501,3451,4767,584
14325,4948,3946,2507,3460,4779,584
14350,4955,3951,2510,3466,4789,584
14375,4962,3959,2514,3475,4796,586
14400,4965,3967,2518,3483,4801,586
14425,4971,3976,2524,3492,4812,587
14450,4975,3982,2530,3498,4818,589
14475,4978,3990,2535,3506,4827,590
14500,4984,3998,2541,3515,4833,592
14525,4987,4006,2550,3522,4839,592
14550,4994,4015,2556,3530,4848,595
14575,5001,4026,2563,3539,4858,598
14600,5004,4035,2568,3546,4864,599
14625,5009,4045,2574,3556,4872,600
14650,5014,4052,2580,3564,4879,601
14675,5018,4057,2582,3573,4886,602
14700,5022,4069,2589,3582,4892,604
14725,5027,4080,2597,3594,4903,605
14750,5033,4090,2605,3605,4912,606
14775,5038,4097,2609,3610,4918,606
14800,5043,4104,2615,3623,4931,608
14825,5049,4118,2624,3637,4946,609
14850,5053,4127,2630,3643,4954,609
14875,5060,4138,2639,3651,4965,611
14900,5067,4148,2646,3660,4974,612
14925,5074,4157,2655,3672,4984,612
14950,5082,4166,2661,3685,4992,613
14975,5088,4174,2670,3692,5000,615
15000,5094,4177,2673,3696,5005,618
15025,5096,4180,2675,3699,5008,620
15050,5104,4189,2679,3709,5019,621
15075,5111,4198,2685,3719,5030,621
15100,5118,4205,2690,3728,5039,623
15125,5122,4217,2699,3738,5050,624
15150,5130,4224,2704,3747,5060,626
15175,5135,4230,2709,3755,5066,627
15200,5143,4239,2714,3766,5076,628
15225,5148,4248,2719,3775,5088,629
15250,5149,4254,2725,3782,5095,629
15275,5156,4260,2732,3790,5104,629
15300,5160,4266,2738,3799,5115,630
15325,5166,4271,2741,3805,5125,631
15350,5174,4279,2745,3811,5134,632
15375,5181,4283,2748,3815,5140,632
15400,5189,4295,2756,3825,5149,633
15425,5194,4305,2761,3833,5161,633
15450,5198,4318,2769,3844,5175,635
15475,5206,4332,2775,3859,5190,636
15500,5210,4338,2777,3866,5198,637
15525,5217,4347,2783,3877,5209,637
15550,5221,4356,2790,3887,5220,639
15575,5225,4366,2797,3895,5228,641
15600,5229,4369,2799,3898,5234,643
15625,5233,4378,2806,3907,5245,643
15650,5243,4389,2813,3915,5257,643
15675,5248,4400,2816,3921,5263,643
15700,5251,4406,2820,3925,5271,644
15725,5256,4417,2824,3932,5281,645
15750,5266,4428,2829,3942,5295,648
15775,5272,4436,2840,3951,5305,650
15800,5281,4443,2841,3959,5316,651
15825,5288,4453,2847,3968,5331,652
15850,5294,4463,2854,3978,5341,652
15875,5300,4471,2860,3987,5346,654
15900,5305,4479,2865,3995,5353,654
15925,5310,4487,2871,4004,5365,655
15950,5316,4496,2877,4013,5375,655
15975,5323,4502,2880,4023,5385,656
16000,5333,4515,2887,4036,5398,657
16025,5336,4521,2892,4044,5411,659
16050,5342,4531,2895,4055,5424,660
16075,5349,4539,2902,4064,5435,660
16100,5353,4549,2908,4074,5442,660
16125,5357,4559,2914,4083,5451,660
16150,5362,4568,2922,4094,5461,660
16175,5367,4572,2927,4099,5467,660
16200,5373,4581,2932,4109,5477,663
16225,5377,4589,2938,4117,5490,663
16250,5385,4602,2948,4124,5505,663
16275,5392,4607,2954,4133,5512,664
16300,5396,4617,2959,4141,5527,665
16325,5404,4628,2967,4150,5539,665
16350,5407,4635,2971,4155,5548,666
16375,5412,4645,2976,4162,5560,667
16400,5416,4651,2979,4167,5569,668
16425,5421,4655,2982,4172,5575,669
16450,5426,4662,2988,4181,5585,670
16475,5430,4671,2995,4188,5593,671
16500,5434,4680,3001,4196,5602,671
16525,5442,4692,3008,4208,5615,674
16550,5444,4696,3012,4215,5620,675
16575,5450,4707,3019,4227,5633,675
16600,5454,4718,3026,4239,5644,677
16625,5459,4728,3034,4247,5654,678
16650,5462,4734,3039,4254,5665,680
16675,5467,4747,3049,4265,5679,682
16700,5473,4760,3056,4278,5690,683
16725,5480,4768,3063,4286,5699,683
16750,5481,4773,3067,4289,5702,683
16775,5488,4787,3078,4299,5715,684
16800,5491,4797,3083,4308,5725,684
16825,5499,4805,3088,4317,5733,686
16850,5503,4815,3092,4326,5742,687
16875,5508,4822,3097,4332,5750,690
16900,5516,4831,3107,4342,5759,691
16925,5523,4841,3115,4353,5770,692
16950,5527,4848,3117,4358,5775,693
16975,5533,4857,3121,4365,5789,694
17000,5541,4862,3124,4373,5798,694
17025,5550,4873,3129,4383,5809,695
17050,5553,4879,3133,4390,5817,695
17075,5556,4884,3138,4392,5823,695
17100,5561,4893,3148,4401,5832,695
17125,5564,4902,3156,4410,5841,696
17150,5569,4913,3168,4421,5853,696
17175,5570,4920,3173,4428,5864,696
17200,5573,4927,3180,4438,5877,697
17225,5577,4936,3186,4444,5886,700
17250,5586,4947,3194,4454,5898,702
17275,5589,4954,3198,4459,5904,702
17300,5594,4962,3205,4464,5913,702
17325,5601,4973,3214,4472,5926,702
17350,5609,4989,3223,4484,5938,702
17375,5612,4996,3227,4492,5946,704
17400,5617,5001,3232,4501,5954,705
17425,5623,5010,3240,4511,5965,707
17450,5627,5017,3244,4518,5972,707
17475,5632,5023,3246,4527,5981,709
17500,5634,5032,3255,4538,5991,711
